ID	log2fold	p	p.adj
ENSMUSG00000024076	-8.7979742771	5.36159276472623E-015	5.27636367219261E-013
ENSMUSG00000020227	3.5911742001	5.86405199958895E-015	5.74374257593541E-013
ENSMUSG00000050511	6.0450107375	5.9130656330597E-015	5.76468636927685E-013
ENSMUSG00000040061	-2.5008880659	6.69527460648015E-015	6.4969076332556E-013
ENSMUSG00000032515	-1.9456964479	6.9745306827185E-015	6.73655711266463E-013
ENSMUSG00000003379	3.535211849	7.24203063061986E-015	6.96269516343881E-013
ENSMUSG00000022270	-1.1414801068	7.51877143176081E-015	7.19560221930394E-013
ENSMUSG00000021125	3.4167893528	7.71658657319897E-015	7.3511938665137E-013
ENSMUSG00000040663	2.3976708263	8.15952551451919E-015	7.7378264004279E-013
ENSMUSG00000008384	2.3274808945	8.47767422068611E-015	8.0031546274287E-013
ENSMUSG00000038009	3.3933873778	8.88048291208724E-015	8.34565382859802E-013
ENSMUSG00000073008	5.0455145682	9.90569158254619E-015	9.26737414738391E-013
ENSMUSG00000051124	3.639288267	1.10317430886768E-014	1.02747882169225E-012
ENSMUSG00000022574	3.9275824189	1.20540179526825E-014	1.11770211798584E-012
ENSMUSG00000030790	4.9751609563	1.3642941005513E-014	1.25943662919477E-012
ENSMUSG00000027293	1.7367769034	1.51337655884425E-014	1.39090639414836E-012
ENSMUSG00000003363	2.6526303036	1.6056210663447E-014	1.46921369768199E-012
ENSMUSG00000015766	-3.336422383	1.65065776913171E-014	1.50382851691681E-012
ENSMUSG00000032508	-1.7608943307	1.76644740993533E-014	1.60232140493395E-012
ENSMUSG00000042759	-2.2646335501	2.10233416821922E-014	1.89874449140942E-012
ENSMUSG00000036825	-2.8106701011	2.64059792319922E-014	2.3746032099873E-012
ENSMUSG00000018900	-2.0352870089	2.69285176683722E-014	2.40089600049252E-012
ENSMUSG00000102376	4.9913321306	2.69026533227001E-014	2.40089600049252E-012
ENSMUSG00000031758	2.9791964984	2.86568475664087E-014	2.5441183437361E-012
ENSMUSG00000043243	2.9122368986	2.93663318752544E-014	2.59605839793827E-012
ENSMUSG00000067577	4.4691010156	3.30120935847171E-014	2.9060392761939E-012
ENSMUSG00000026715	5.608143584	3.50870229286118E-014	3.07571663596482E-012
ENSMUSG00000024986	-1.6203794301	3.61017308338897E-014	3.15142431124453E-012
ENSMUSG00000072941	3.3291785454	3.78840134276755E-014	3.29322571725664E-012
ENSMUSG00000067924	-3.0834520922	4.22748508555378E-014	3.65966893526592E-012
ENSMUSG00000022021	-1.8793436524	4.43920352747942E-014	3.82707037990922E-012
